participant_id,uuid,mw_label
BE7-P1001-ND,adf2da0f-8d3a-4ff7-b727-06e9f2355df2.mp4,MW
BE7-P1001-ND,c9494a32-4395-473b-a8ca-fad882068fab.mp4,NonMW
BE7-P1001-ND,52d55b1c-2d2b-49cf-aa7a-a7bf52e6701f.mp4,NonMW
BE7-P1001-ND,fdb2db0d-2280-403a-bcdc-dd61478d9ffc.mp4,MW
BE7-P1001-ND,ab711f52-4e25-4cd8-a5af-05262957785e.mp4,MW
BE7-P1001-ND,b9380f11-af77-4b21-aa33-f8e5f3e79954.mp4,NonMW
BE7-P1001-ND,bc585fc2-fc82-45c4-a5c0-3074a3cec3bf.mp4,NonMW
BE7-P1001-ND,63bb963c-0e44-4e00-9303-7beff61aea35.mp4,MW
BE7-P1001-ND,b2a24475-e5b3-4baf-8068-d5cae2e49720.mp4,MW
BE7-P1001-ND,886f1380-2d5a-478f-908e-24864a10e330.mp4,NonMW
BE7-P1001-ND,9a82570b-c8ba-48d7-8c44-26c74cbcf5d3.mp4,MW
BE7-P1001-ND,f071fad6-00be-4dc8-bdd3-5f4d6c0aad41.mp4,NonMW
BE7-P1001-ND,28caa2a2-00ca-4c7c-a972-b4b5016ed483.mp4,NonMW
BE7-P1001-ND,15036cdc-2484-4856-b5fe-485461296afd.mp4,NonMW
BE7-P1001-ND,074e3e12-929e-483c-91f2-3f5cb091ce07.mp4,MW
BE7-P1001-ND,d1dc1666-e18d-44fd-b9b5-88b2a1de4bbd.mp4,NonMW
BE7-P1001-ND,1a45de97-cf18-4e85-b78e-9ad7e3598376.mp4,NonMW
BE7-P1001-ND,8f42cab1-0bd1-4cf5-8442-ce21dfc533a1.mp4,NonMW
BE7-P1001-ND,e711587e-ca83-4893-8d47-40300afcd7a1.mp4,NonMW
BE7-P1001-ND,1c859a09-21d0-44e0-80b3-edf5186a011d.mp4,NonMW
BE7-P1001-ND,1a9dc04d-e9cf-440d-aeeb-14f5126a7e2f.mp4,NonMW
BE7-P1001-ND,bbeee5f4-87da-4899-9da3-f7ebe7285fb6.mp4,NonMW
BE7-P1003-ND,4301061c-8375-4652-9ccb-96e01f311a86.mp4,NonMW
BE7-P1003-ND,9be0eb64-f79d-4a27-8f12-908b4052c043.mp4,NonMW
BE7-P1003-ND,9ec8586b-18d5-46a2-8fe0-964b74a14851.mp4,NonMW
BE7-P1003-ND,002d9411-78be-4bf5-b778-52ba6a0811d4.mp4,NonMW
BE7-P1003-ND,1ee2c9ca-5106-4bbd-9e7e-897dd8f2dd69.mp4,NonMW
BE7-P1003-ND,dbef5fa3-21c7-4a68-a60d-61ddb11a09bb.mp4,NonMW
BE7-P1003-ND,a49c6b25-8617-4392-bfab-2a19a54232f5.mp4,NonMW
BE7-P1003-ND,26609c9b-938b-4983-8cf4-d1f71529515a.mp4,NonMW
BE7-P1003-ND,ab1064bf-265f-400e-9844-6bcd236c6c0f.mp4,NonMW
BE7-P1003-ND,e684b2ee-fa7d-4c7f-ae01-d0caade17d0b.mp4,NonMW
BE7-P1003-ND,18f34fd7-18d5-4033-8a32-310669928c0c.mp4,NonMW
BE7-P1003-ND,0aade6b8-8089-45e4-89bf-7c14080bd335.mp4,NonMW
BE7-P1003-ND,d74a3b28-f0ae-4c48-8b4d-cf8b95acb8d6.mp4,NonMW
BE7-P1003-ND,32127ba6-04da-4cdd-a6de-9bbfa5896558.mp4,NonMW
BE7-P1003-ND,b634143f-0b96-49bf-ab8c-46b43bf339a2.mp4,NonMW
BE7-P1003-ND,51e162ea-9548-4ba6-a820-dcbd1645c55b.mp4,NonMW
BE7-P1003-ND,6453d1e7-13c6-489d-a4ff-f9ab284c53b9.mp4,NonMW
BE7-P1003-ND,456348d9-41e1-42ff-8eab-deb2a7c70d5a.mp4,NonMW
BE7-P1003-ND,70430772-3bf0-4e03-a48c-7984925c4a6e.mp4,NonMW
BE7-P1003-ND,8c4e6ff0-6972-4ffa-9be7-c46cb771faca.mp4,NonMW
BE7-P1003-ND,5214a714-5700-4740-acd2-304647b61def.mp4,NonMW
BE7-P1003-ND,8645874d-0353-41da-aae4-95df09cada00.mp4,NonMW
BE7-P1003-ND,60bae23c-4eb1-48a2-a4a1-b29678d2bc54.mp4,NonMW
BE7-P1003-ND,e24e90dc-4e71-4ed6-94a3-0d622e76ce04.mp4,NonMW
BE7-P1003-ND,599fbb3c-f97d-43bd-baa1-e263a25c2792.mp4,NonMW
BE7-P1003-ND,b3e8830a-d35e-4f62-92aa-15c2c5749f27.mp4,NonMW
BE7-P1003-ND,82a04916-3447-46f9-af6b-9880595dbdbe.mp4,NonMW
BE7-P1003-ND,ff413846-963d-43d1-af97-610257619302.mp4,NonMW
BE7-P1003-ND,303d1e45-bd77-460c-a574-5aec421bcdad.mp4,NonMW
BE7-P1003-ND,886cea1e-eb6b-47bd-9cb0-f8e852039ff0.mp4,NonMW
BE7-P1003-ND,69181f58-5a5d-457a-bf47-be37a6c366d8.mp4,NonMW
BE7-P1003-ND,5dffbfc8-2302-460b-8d7a-39aca55a6e7e.mp4,NonMW
BE7-P1003-ND,91f051a4-c9a2-4b43-939f-4afa72d6c9c1.mp4,NonMW
BE7-P1003-ND,5c85e7b3-b116-46d3-aa91-ebb5e33f29b8.mp4,NonMW
BE7-P1003-ND,738480fd-4289-4aba-b9cf-5a9997dfb495.mp4,NonMW
BE7-P1003-ND,12060906-4e71-46e9-9db6-ef3e0087e433.mp4,NonMW
BE7-P1003-ND,17a0fc1f-87ae-4385-89a5-a79ae8286f9f.mp4,NonMW
BE7-P1003-ND,a8af6502-9fc6-4516-843f-b1787dc5c79c.mp4,NonMW
BE7-P1003-ND,6ea1d888-159c-497a-a498-8a6c7a2bb050.mp4,NonMW
BE7-P1003-ND,87210cb7-6812-488b-ae5d-c003aecb9168.mp4,NonMW
BE7-P1003-ND,0cadb459-c4db-47cd-87f3-fa0ab990bf30.mp4,NonMW
BE7-P1003-ND,03f901e6-83de-48b1-aa17-0067d41e6f97.mp4,NonMW
BE7-P1003-ND,eb708568-e1e9-488d-bdf2-46e4ec3e50a8.mp4,NonMW
BE7-P1003-ND,c8c27f5c-2558-4a93-9850-6d45959f861e.mp4,NonMW
BE7-P1003-ND,1c0e26f8-7741-4013-9b33-83618ab7da44.mp4,NonMW
BE7-P1003-ND,f45794dc-f053-4cfa-8077-faceaeada128.mp4,NonMW
BE7-P1003-ND,3e07bbf1-7f8a-4fec-ac33-8d246a47bbce.mp4,NonMW
BE7-P1003-ND,d0381996-7b0d-4d2c-ab7c-4690685f22b9.mp4,NonMW
BE7-P1003-ND,fcb22eab-f026-47f5-ae5e-410592133419.mp4,NonMW
BE7-P1003-ND,83a477aa-49f3-4c26-ad5f-a71c72021ba6.mp4,NonMW
BE7-P1003-ND,813dddf5-a18d-4210-badf-e20d94a0c5e2.mp4,NonMW
BE7-P1003-ND,29432725-c8a4-4c35-b19c-a0d2d27ce143.mp4,NonMW
BE7-P1003-ND,25712489-e7f0-4943-9659-4cf42850f20c.mp4,NonMW
BE7-P1003-ND,d09104e1-1b3a-480f-a950-2bad31df74bb.mp4,NonMW
BE7-P1003-ND,851560a2-e8dc-47b5-8a8f-5caf5ed2c8e2.mp4,NonMW
BE7-P1003-ND,56a8e4b7-bd3d-416c-9753-9f648948fd45.mp4,NonMW
BE7-P1003-ND,a413c8e0-d9ee-4655-8a6e-9b6c6766c7a6.mp4,NonMW
BE7-P1003-ND,62db4c09-a3d9-497a-a015-45e54ace3db8.mp4,NonMW
BE7-P1003-ND,78e8b6e5-8ad9-4fff-8603-48a6bc16ab0b.mp4,NonMW
BE7-P1003-ND,754debe6-3a96-4566-b7f9-32b095a3d30a.mp4,NonMW
BE7-P1003-ND,b03006b2-007f-4993-a19c-5cfa180de1ca.mp4,NonMW
BE7-P1004-ND,eda40dd3-3b63-4e99-bb1e-dcc510debe21.mp4,MW
BE7-P1004-ND,4607175b-89a5-41ad-9e59-f7e54045e38d.mp4,NonMW
BE7-P1004-ND,98bc1d5a-0d85-47aa-8cbe-87ca8c4d4374.mp4,NonMW
BE7-P1004-ND,e03b86a6-4dbd-40d9-9a0d-3aafdd96bb3e.mp4,NonMW
BE7-P1004-ND,d3f047ad-59ed-476c-a3c2-504e696ae7d5.mp4,NonMW
BE7-P1004-ND,1dc3e84f-467b-4047-aa67-e732837a1942.mp4,MW
BE7-P1004-ND,3133091b-b3f0-4d87-9c56-57e8663954a0.mp4,NonMW
BE7-P1004-ND,9216d41c-342f-4eff-bd64-d296255b3a4c.mp4,MW
BE7-P1004-ND,ee1d618f-c5e5-424e-a1f1-5502c8fd7148.mp4,MW
BE7-P1004-ND,95b24b7d-8293-4728-a13e-e1d5689c9d3b.mp4,NonMW
BE7-P1004-ND,304f5155-dd88-477e-8636-df88266bb7a4.mp4,MW
BE7-P1004-ND,7ad4a51f-5b83-4018-a44b-21cc2f1efa78.mp4,NonMW
BE7-P1004-ND,45a15df9-7827-431f-a39f-7b4780496757.mp4,NonMW
BE7-P1004-ND,34cfce0d-f572-4c80-9189-12f763cff1fc.mp4,MW
BE7-P1004-ND,e16f4a8f-5901-4d9e-b730-b76e1a7e5efd.mp4,MW
BE7-P1004-ND,b1186a1d-7f57-4eaf-b328-65ae6d52c46f.mp4,MW
BE7-P1004-ND,e1e5949c-cff9-4ed8-ab42-afc65715459d.mp4,MW
BE7-P1004-ND,cd2ab07c-8d96-455f-b178-9bf4fd7cf047.mp4,MW
BE7-P1004-ND,633be1d9-af3b-4e89-9642-e64de5489e38.mp4,MW
BE7-P1004-ND,109f8ab8-380a-4840-80c7-2b81e8a7f840.mp4,NonMW
BE7-P1004-ND,d0c1ea20-e0c4-4afc-be66-2f99ce574616.mp4,MW
BE7-P1004-ND,d11c1fe4-6c45-498d-b223-afe1d9e10a13.mp4,MW
BE7-P1004-ND,c04bf380-373b-404f-ad38-abb6b1a8e7a3.mp4,NonMW
BE7-P1004-ND,aaff103e-c4d7-4561-8139-e6c94d9ce5e3.mp4,NonMW
BE7-P1004-ND,050ae2a6-4f6a-429e-9c42-24487bc998ac.mp4,NonMW
BE7-P1004-ND,0f28ff2b-ace2-4410-8048-4e9ed70a15ef.mp4,MW
BE7-P1004-ND,dc664319-b1eb-439b-83fb-b9f423d07473.mp4,MW
BE7-P1004-ND,eaae3f91-60d7-4c35-bb5f-b82bb0a4ac0c.mp4,NonMW
BE7-P1004-ND,0ea501dd-4710-49db-9e7e-bb6bc03a0794.mp4,MW
BE7-P1004-ND,1eb354c6-adca-402a-9f41-98540a8b6df9.mp4,MW
BE7-P1006-ND,f253fae8-faa9-461f-8769-1c5616aa4a41.mp4,MW
BE7-P1006-ND,006c38de-d700-463a-bfc3-0b27f98288fa.mp4,MW
BE7-P1006-ND,57b49d44-8107-4d2c-a4f9-0be721c971b4.mp4,MW
BE7-P1006-ND,07597bf7-554f-429b-a950-a4e6b200da3e.mp4,MW
BE7-P1006-ND,8390d61f-6969-4907-a8f5-12ce02b33425.mp4,MW
BE7-P1006-ND,c7ef24a7-0762-4668-a607-cbec000ce60e.mp4,MW
BE7-P1006-ND,9d33ebe6-db26-4599-8eff-d8cf0db61883.mp4,MW
